,Date,Close/Last,Volume,Open,High,Low
193,2019-08-16,206.5,28813620,204.28,207.16,203.84
194,2019-08-15,201.74,27883360,203.46,205.14,199.67
195,2019-08-14,202.75,36547440,203.16,206.44,202.5869
196,2019-08-13,208.97,47539790,201.02,212.14,200.83
197,2019-08-12,200.48,22481890,199.62,202.0516,199.15
198,2019-08-09,200.99,24619750,201.3,202.76,199.29
199,2019-08-08,203.43,27009520,200.2,203.53,199.39
200,2019-08-07,199.04,33364400,195.41,199.56,193.82
201,2019-08-06,197.0,35824790,196.31,198.067,194.04
202,2019-08-05,193.34,52392970,197.99,198.649,192.58
203,2019-08-02,204.02,40862120,205.53,206.43,201.63
204,2019-08-01,208.43,54017920,213.9,218.03,206.7435
205,2019-07-31,213.04,69281360,216.42,221.37,211.3
206,2019-07-30,208.78,33935720,208.76,210.16,207.31
207,2019-07-29,209.68,21673390,208.46,210.64,208.44
208,2019-07-26,207.74,17618870,207.48,209.73,207.14
209,2019-07-25,207.02,13909560,208.89,209.24,206.73
210,2019-07-24,208.67,14991570,207.67,209.15,207.17
211,2019-07-23,208.84,18355210,208.46,208.91,207.29
212,2019-07-22,207.22,22277930,203.65,207.23,203.61
213,2019-07-19,202.59,20929310,205.79,206.5,202.36
214,2019-07-18,205.66,18582160,204.0,205.88,203.7
215,2019-07-17,203.35,14107450,204.05,205.0915,203.27
216,2019-07-16,204.5,16866820,204.59,206.11,203.5
217,2019-07-15,205.21,16947420,204.09,205.87,204.0
218,2019-07-12,203.3,17595210,202.45,204.0,202.2
219,2019-07-11,201.75,20191840,203.31,204.39,201.71
220,2019-07-10,203.23,17897140,201.85,203.73,201.56
221,2019-07-09,201.24,20578020,199.2,201.51,198.81
222,2019-07-08,200.02,25338630,200.81,201.4,198.41
223,2019-07-05,204.23,17265520,203.35,205.08,202.9
224,2019-07-03,204.41,11362050,203.28,204.44,202.6901
225,2019-07-02,202.73,16935220,201.41,203.1323,201.36
226,2019-07-01,201.55,27316740,203.17,204.49,200.65
227,2019-06-28,197.92,31110640,198.68,199.495,197.05
228,2019-06-27,199.74,20899720,200.29,201.57,199.57
229,2019-06-26,199.8,26067510,197.77,200.99,197.35
230,2019-06-25,195.57,21070330,198.43,199.26,195.29
231,2019-06-24,198.58,18220420,198.54,200.16,198.17
232,2019-06-21,198.78,47800590,198.8,200.85,198.15
233,2019-06-20,199.46,21513990,200.37,200.61,198.03
234,2019-06-19,197.87,21124240,199.68,199.88,197.31
235,2019-06-18,198.45,26551000,196.05,200.29,195.21
236,2019-06-17,193.89,14669140,192.9,194.96,192.17
237,2019-06-14,192.74,18761470,191.545,193.5863,190.3
238,2019-06-13,194.15,21674630,194.7,196.79,193.6
239,2019-06-12,194.19,18253190,193.95,195.97,193.385
240,2019-06-11,194.81,26932880,194.86,196.0,193.6
241,2019-06-10,192.58,26220850,191.81,195.37,191.62
242,2019-06-07,190.15,30684390,186.51,191.92,185.77
243,2019-06-06,185.22,22526310,183.08,185.47,182.1489
244,2019-06-05,182.54,29773430,184.28,184.99,181.14
245,2019-06-04,179.64,30967960,175.44,179.83,174.52
246,2019-06-03,173.3,40396070,175.6,177.92,170.27
247,2019-05-31,175.07,27043580,176.23,177.99,174.99
248,2019-05-30,178.3,21218410,177.95,179.23,176.67
249,2019-05-29,177.38,28481170,176.42,179.35,176.0
250,2019-05-28,178.23,27948160,178.92,180.59,177.91
251,2019-05-24,178.97,23714690,180.2,182.14,178.62
252,2019-05-23,179.66,36529740,179.8,180.54,177.81
253,2019-05-22,182.78,29748560,184.66,185.71,182.55
254,2019-05-21,186.6,28364850,185.22,188.0,184.7
255,2019-05-20,183.09,38612290,183.52,184.349,180.2839
256,2019-05-17,189.0,32879090,186.93,190.9,186.76
257,2019-05-16,190.08,33031360,189.91,192.4689,188.84
258,2019-05-15,190.92,26544720,186.27,191.75,186.02
259,2019-05-14,188.66,36529680,186.41,189.7,185.41
260,2019-05-13,185.72,57430620,187.71,189.48,182.85
261,2019-05-10,197.18,41208710,197.419,198.85,192.77
262,2019-05-09,200.72,34908610,200.4,201.68,196.66
263,2019-05-08,202.9,26339500,201.9,205.34,201.75
264,2019-05-07,202.86,38763700,205.88,207.4175,200.825
265,2019-05-06,208.48,32443110,204.29,208.84,203.5
266,2019-05-03,211.75,20892380,210.89,211.84,210.23
267,2019-05-02,209.15,31996320,209.84,212.65,208.13
268,2019-05-01,210.52,64827330,209.88,215.31,209.23
269,2019-04-30,200.67,45751160,203.06,203.4,199.11
270,2019-04-29,204.61,22010360,204.4,205.97,203.86
271,2019-04-26,204.3,18612770,204.9,205.0,202.12
272,2019-04-25,205.28,18463850,206.83,207.76,205.12
273,2019-04-24,207.16,17427570,207.36,208.48,207.05
274,2019-04-23,207.48,23286380,204.43,207.75,203.9
275,2019-04-22,204.53,17841920,202.83,204.94,202.34
276,2019-04-18,203.86,24185530,203.12,204.15,202.52
277,2019-04-17,203.13,28865310,199.54,203.38,198.61
278,2019-04-16,199.25,25668330,199.46,201.37,198.56
279,2019-04-15,199.23,17524150,198.58,199.85,198.01
280,2019-04-12,198.87,27738580,199.2,200.14,196.21
281,2019-04-11,198.95,20543190,200.85,201.0,198.4431
282,2019-04-10,200.62,21654750,198.68,200.74,198.18
283,2019-04-09,199.5,35738280,200.32,202.85,199.23
284,2019-04-08,200.1,25829880,196.42,200.23,196.34
285,2019-04-05,197.0,18473070,196.45,197.1,195.93
286,2019-04-04,195.69,19090050,194.79,196.37,193.14
287,2019-04-03,195.35,23243160,193.25,196.5,193.15
288,2019-04-02,194.02,22727370,191.09,194.46,191.05
289,2019-04-01,191.24,27308200,191.64,191.68,188.38
290,2019-03-29,189.95,23524830,189.83,190.08,188.54
291,2019-03-28,188.72,20710390,188.95,189.559,187.53
292,2019-03-27,188.47,29771210,188.75,189.76,186.55
293,2019-03-26,186.79,49696100,191.664,192.88,184.58
294,2019-03-25,188.74,43751810,191.51,191.98,186.6
295,2019-03-22,191.05,42287640,195.34,197.69,190.78
296,2019-03-21,195.09,50943120,190.02,196.33,189.81
297,2019-03-20,188.16,31003380,186.23,189.49,184.73
298,2019-03-19,186.53,31440300,188.35,188.99,185.92
299,2019-03-18,188.02,26148590,185.8,188.39,185.79
300,2019-03-15,186.12,39017490,184.85,187.33,183.74
301,2019-03-14,183.73,23527660,183.9,184.1,182.56
302,2019-03-13,181.71,30929740,182.25,183.3,180.92
303,2019-03-12,180.91,32416800,180.0,182.67,179.37
304,2019-03-11,178.9,31123000,175.49,179.12,175.35
305,2019-03-08,172.91,23985960,170.32,173.07,169.5
306,2019-03-07,172.5,24755470,173.87,174.44,172.02
307,2019-03-06,174.52,20755140,174.67,175.49,173.94
308,2019-03-05,175.53,19238480,175.94,176.0,174.54
309,2019-03-04,175.85,27413060,175.69,177.75,173.97
310,2019-03-01,174.97,25737560,174.28,175.15,172.89
311,2019-02-28,173.15,27953810,174.32,174.91,172.92
312,2019-02-27,174.87,27817640,173.21,175.0,172.73
313,2019-02-26,174.33,16991610,173.71,175.3,173.1732
314,2019-02-25,174.23,21846400,174.16,175.87,173.95
315,2019-02-22,172.97,18890250,171.58,173.0,171.38
316,2019-02-21,171.06,17154540,171.8,172.37,170.3
317,2019-02-20,172.03,25323890,171.19,173.32,170.99
